Airport_IATA,Airport_Name,Country_Code,Country_Name,Latitude,Longitude
AAA,Anaa,PF,French Polynesia,-17.3525,-145.51
AHE,Ahe,PF,French Polynesia,-14.4281,-146.2569
AUQ,Hiva Oa Atuona,PF,French Polynesia,-9.7689,-139.0114
AXR,Arutua,PF,French Polynesia,-15.2483,-146.6167
BOB,Bora Bora Motu Mute,PF,French Polynesia,-16.4444,-151.7514
FAC,Faaite,PF,French Polynesia,-16.6867,-145.3297
FAV,Fakarava,PF,French Polynesia,-16.0542,-145.6569
FGU,Fangatau,PF,French Polynesia,-15.82,-140.8858
FHZ,Fakahina,PF,French Polynesia,-15.9922,-140.1647
GMR,Totegegie,PF,French Polynesia,-23.08,-134.8903
HHZ,Hikueru,PF,French Polynesia,-17.5481,-142.6133
HIX,Hiva Oa,PF,French Polynesia,-9.75,-139.0
HOI,Hao,PF,French Polynesia,-18.0747,-140.9458
HUH,Huahine Fare,PF,French Polynesia,-16.6872,-151.0217
KHZ,Kauehi,PF,French Polynesia,-15.7808,-145.1242
KKR,Kaukura,PF,French Polynesia,-15.6633,-146.8847
KXU,Katiu,PF,French Polynesia,-16.3394,-144.4031
MAU,Maupiti Island,PF,French Polynesia,-16.4264,-152.2436
MKP,Makemo Airport,PF,French Polynesia,-16.5839,-143.6583
MOZ,Moorea Temae,PF,French Polynesia,-17.49,-149.7619
MVT,Mataiva,PF,French Polynesia,-14.8697,-148.7131
NAU,Napuka,PF,French Polynesia,-14.1769,-141.2672
NHV,Nuku Hiva Airport,PF,French Polynesia,-8.7956,-140.2289
NIU,Niau Airport,PF,French Polynesia,-16.1208,-146.3736
NKP,Nukutepipi Airport,PF,French Polynesia,-20.4536,-143.5294
PKP,Puka Puka,PF,French Polynesia,-14.8094,-138.8128
PUK,Pukarua,PF,French Polynesia,-18.2961,-137.0158
REA,Reao,PF,French Polynesia,-18.4661,-136.4394
RFP,Raiatea Island Uturoa,PF,French Polynesia,-16.7228,-151.4658
RGI,Rangiroa Island Seaplane Base,PF,French Polynesia,-14.9542,-147.6608
RKA,Aratika-Nord,PF,French Polynesia,-15.4853,-145.4678
RUR,Rurutu,PF,French Polynesia,-22.4342,-151.3606
RVV,Raivavae,PF,French Polynesia,-23.8853,-147.6619
TKP,Takapoto,PF,French Polynesia,-14.7094,-145.2458
TKV,Tatakoto,PF,French Polynesia,-17.3556,-138.4486
TKX,Takaroa,PF,French Polynesia,-14.4558,-145.0244
TPX,Tupai Airport,PF,French Polynesia,-16.2333,-151.8333
TTI,Tetiaroa Airport,PF,French Polynesia,-17.0833,-149.5333
UOA,Moruroa Atoll,PF,French Polynesia,-21.8097,-138.8122
VHZ,Vahitahi,PF,French Polynesia,-18.7797,-138.8533
XMH,Manihi,PF,French Polynesia,-14.4367,-146.07
